source,title,company,location,text_to_check,categories
linkedin,DevOps Automation Engineer Intermediate,Cnexia,"Rabat, Rabat-Salé-Kénitra, Morocco",DevOps Automation Engineer Intermediate,['DevOps']
linkedin,Ingénieur DevOps (F/H),Sofrecom Maroc,Rabat Metropolitan Area,Ingénieur DevOps (F/H),['DevOps']
linkedin,DevOps Engineer,CIH BANK,"Casablanca, Casablanca-Settat, Morocco",DevOps Engineer,['DevOps']
linkedin,Senior DevOps Engineer (Short term),Intetics,Morocco,Senior DevOps Engineer (Short term),['DevOps']
linkedin,"Senior Engineer, NCX",NVIDIA AI,"Pachalik de Es-Semara, Laâyoune-Sakia El Hamra, Morocco","Senior Engineer, NCX",[]
linkedin,Senior Observability & Automation Engineer,AXONE,"Rabat, Rabat-Salé-Kénitra, Morocco",Senior Observability & Automation Engineer,[]
linkedin,Cloud engineer expérimenté GCP - MAROC,Onepoint,"Mechouar, Casablanca-Settat, Morocco",Cloud engineer expérimenté GCP - MAROC,['Cloud']
linkedin,Ingénieur Infrastructure Cloud & Systèmes H/F,ilem Group,"Casablanca-Settat, Morocco",Ingénieur Infrastructure Cloud & Systèmes H/F,['Cloud']
linkedin,Ingénieur·e Systèmes Linux (F/H),Scalian,"Casablanca, Casablanca-Settat, Morocco",Ingénieur·e Systèmes Linux (F/H),[]
linkedin,Développeur Sécurité confirmé,Babel,"Casablanca, Casablanca-Settat, Morocco",Développeur Sécurité confirmé,['Cybersecurity']
linkedin,Cyber Security Engineer (Staff/Lead Level),A2MAC1 - Decode the future,Casablanca Metropolitan Area,Cyber Security Engineer (Staff/Lead Level),['Cybersecurity']
linkedin,Ingénieur Cybersécurité - H/F,Groupe BBL,"Casablanca, Casablanca-Settat, Morocco",Ingénieur Cybersécurité - H/F,['Cybersecurity']
linkedin,Ingénieur Cybersécurité SOC (H/F),Tessi,"Oujda, Oriental, Morocco",Ingénieur Cybersécurité SOC (H/F),['Cybersecurity']
linkedin,Consultant SOC Senior,GazelTech,"Mechouar, Casablanca-Settat, Morocco",Consultant SOC Senior,[]
linkedin,SOC Analyst Level 2,Thales,"Salé, Rabat-Salé-Kénitra, Morocco",SOC Analyst Level 2,[]
linkedin,Responsable Cybersécurité H/F,DIORH,Casablanca Metropolitan Area,Responsable Cybersécurité H/F,['Cybersecurity']
linkedin,Consultant Cybersécurité / GRC |F/H,KPMG au Maroc,"Mechouar, Casablanca-Settat, Morocco",Consultant Cybersécurité / GRC |F/H,['Cybersecurity']
linkedin,Ingénieur Sécurité & Réseaux Senior,BROME Consulting & Technology,"Casablanca, Casablanca-Settat, Morocco",Ingénieur Sécurité & Réseaux Senior,['Cybersecurity']
linkedin,Project Cybersecurity Manager,Alstom,"Casablanca, Casablanca-Settat, Morocco",Project Cybersecurity Manager,['Cybersecurity']
linkedin,1 Analyste sécurité des systèmes et moyens de paiement (H/F),Bank Al-Maghrib,"Rabat, Rabat-Salé-Kénitra, Morocco",1 Analyste sécurité des systèmes et moyens de paiement (H/F),['Cybersecurity']
linkedin,INGENIEUR GOUVERNANCE SECURITE SI,Attijariwafa bank,"Mechouar, Casablanca-Settat, Morocco",INGENIEUR GOUVERNANCE SECURITE SI,[]
linkedin,Analyste SOC,LabelVie,"Skhirat, Rabat-Salé-Kénitra, Morocco",Analyste SOC,[]
linkedin,SOC Manager,EPIK CONSULTING,Casablanca Metropolitan Area,SOC Manager,[]
linkedin,Analyste SOC / Incident,Orange Business,"Casablanca-Settat, Morocco",Analyste SOC / Incident,[]
linkedin,Ingénieur Sécurité du Système d’Information,Wafa Assurance,"Casablanca-Settat, Morocco",Ingénieur Sécurité du Système d’Information,['Cybersecurity']
linkedin,Analyste en vulnérabilités (VOC),Docaposte Maroc,Casablanca Metropolitan Area,Analyste en vulnérabilités (VOC),[]
linkedin,Directeur des systèmes d'information (H/F),Lynkus,"Toulouse, Occitanie, France",Directeur des systèmes d'information (H/F),[]
linkedin,IT Architecture & Integration Director H/F,Christian Louboutin,"Paris, Île-de-France, France",IT Architecture & Integration Director H/F,[]
linkedin,Développeur(se) Microsoft Dynamics 365 / Power Platform F/H,CGI,Greater Rennes Metropolitan Area,Développeur(se) Microsoft Dynamics 365 / Power Platform F/H,[]
linkedin,Directeur du système d'information,Fondation Edith Seltzer,"Briançon, Provence-Alpes-Côte d'Azur, France",Directeur du système d'information,[]
linkedin,Manager Informatique - H/F,Fiducial,"Angers, Pays de la Loire, France",Manager Informatique - H/F,[]
linkedin,Responsable applicatif  (DSI Open Source)- H/F,Fiducial,"Lyon, Auvergne-Rhône-Alpes, France",Responsable applicatif  (DSI Open Source)- H/F,[]
linkedin,Ingénieur(e) en Technologie de l'Information F/H,CGI,"Strasbourg, Grand Est, France",Ingénieur(e) en Technologie de l'Information F/H,[]
linkedin,Corporate IT Manager - Expert Google Workspace,H Company,"Paris, Île-de-France, France",Corporate IT Manager - Expert Google Workspace,[]
