source,title,company,location,text_to_check,categories
indeed,Ingénieur DevOps,BROME Consulting & Technology,Rabat,Ingénieur DevOps,['DevOps']
indeed,AD Reprocessing DevOps Engineer – Junior H/F,Stellantis,Casablanca,AD Reprocessing DevOps Engineer – Junior H/F,['DevOps']
indeed,Data Platform & DevOps Engineer,AVL,Rabat,Data Platform & DevOps Engineer,['DevOps']
indeed,DATA Plateform & DevOps Enginner,AVL Maroc SARL AU,El Jadida,DATA Plateform & DevOps Enginner,['DevOps']
indeed,Ingénieur DevOps Azure,act digital,Rabat,Ingénieur DevOps Azure,"['Cloud', 'DevOps']"
indeed,Expert DevOps SRE Engineer | Devoteam Maroc Nearshore,Devoteam Morocco,Rabat,Expert DevOps SRE Engineer | Devoteam Maroc Nearshore,['DevOps']
indeed,"Développeur Java, Springboot, DevOps",ALTEN,Rabat,"Développeur Java, Springboot, DevOps",['DevOps']
indeed,GCP DevOps Specialist,Müller`s Solutions,Casablanca,GCP DevOps Specialist,"['Cloud', 'DevOps']"
indeed,Analyste Cybersécurité,CFG Bank,Casablanca,Analyste Cybersécurité,['Cybersecurity']
indeed,Ingénieur Cybersécurité - H/F,Groupe BBL,Ain-Sebaa 20250,Ingénieur Cybersécurité - H/F,['Cybersecurity']
indeed,Ingénieur Cybersécurité SOC (H/F),Tessi,Oujda,Ingénieur Cybersécurité SOC (H/F),['Cybersecurity']
indeed,Expert-Consultant IT & Cybersécurité (H/F),,Maroc,Expert-Consultant IT & Cybersécurité (H/F),['Cybersecurity']
indeed,Consultant cybersécurité GRC,act digital,Casablanca,Consultant cybersécurité GRC,['Cybersecurity']
indeed,Offre de stage – Cybersécurité,DefenSys,Salé,Offre de stage – Cybersécurité,['Cybersecurity']
indeed,"Offre de stage – Déploiement de solutions IT, Réseau, Cybersécurité, IA agentique & Workflows",sofretim,Casablanca,"Offre de stage – Déploiement de solutions IT, Réseau, Cybersécurité, IA agentique & Workflows",['Cybersecurity']
indeed,Responsable Cybersécurité et Gouvernance SI,Recruitment Assistant at IFCAR,Rabat,Responsable Cybersécurité et Gouvernance SI,['Cybersecurity']
indeed,Auditeur IT Junior H/F,KPMG au Maroc,Casablanca,Auditeur IT Junior H/F,[]
indeed,Consultant Cybersécurité / GRC |F/H,KPMG Maroc,Casablanca,Consultant Cybersécurité / GRC |F/H,['Cybersecurity']
indeed,AI integration developer,Outsourcia,Maroc,AI integration developer,['AI']
indeed,AUDITEUR(TRICE) SECURITE SI,CIH Bank,Casablanca,AUDITEUR(TRICE) SECURITE SI,[]
indeed,Cybersecurity Engineer,Dieze Evolution,Rabat,Cybersecurity Engineer,['Cybersecurity']
indeed,SOC Analyst Level 2,Thales,Rabat,SOC Analyst Level 2,[]
